sae_feature_id,count_wrong,count_correct,layer,num_correct_samples,num_wrong_samples,num_total_samples,freq_correct,freq_wrong,total_count,freq_total,freq_difference_wrong_minus_correct,is_common_feature
2398,23.0,18.0,1,30,30,60,0.6,0.7666666666666667,41.0,0.6833333333333333,0.16666666666666674,False
4857,8.0,3.0,1,30,30,60,0.1,0.26666666666666666,11.0,0.18333333333333332,0.16666666666666666,False
164,30.0,30.0,1,30,30,60,1.0,1.0,60.0,1.0,0.0,True
886,30.0,30.0,1,30,30,60,1.0,1.0,60.0,1.0,0.0,True
3926,30.0,30.0,1,30,30,60,1.0,1.0,60.0,1.0,0.0,True
4420,30.0,30.0,1,30,30,60,1.0,1.0,60.0,1.0,0.0,True
4608,30.0,30.0,1,30,30,60,1.0,1.0,60.0,1.0,0.0,True
4735,30.0,30.0,1,30,30,60,1.0,1.0,60.0,1.0,0.0,True
4801,30.0,30.0,1,30,30,60,1.0,1.0,60.0,1.0,0.0,True
7293,30.0,30.0,1,30,30,60,1.0,1.0,60.0,1.0,0.0,True
9276,30.0,30.0,1,30,30,60,1.0,1.0,60.0,1.0,0.0,True
10886,30.0,30.0,1,30,30,60,1.0,1.0,60.0,1.0,0.0,True
10934,30.0,30.0,1,30,30,60,1.0,1.0,60.0,1.0,0.0,True
10980,30.0,30.0,1,30,30,60,1.0,1.0,60.0,1.0,0.0,True
12054,30.0,30.0,1,30,30,60,1.0,1.0,60.0,1.0,0.0,True
12177,30.0,30.0,1,30,30,60,1.0,1.0,60.0,1.0,0.0,True
14154,30.0,30.0,1,30,30,60,1.0,1.0,60.0,1.0,0.0,True
14759,30.0,30.0,1,30,30,60,1.0,1.0,60.0,1.0,0.0,True
16012,30.0,30.0,1,30,30,60,1.0,1.0,60.0,1.0,0.0,True
13092,26.0,27.0,1,30,30,60,0.9,0.8666666666666667,53.0,0.8833333333333333,-0.033333333333333326,True
9779,5.0,6.0,1,30,30,60,0.2,0.16666666666666666,11.0,0.18333333333333332,-0.033333333333333354,False
3228,14.0,16.0,1,30,30,60,0.5333333333333333,0.4666666666666667,30.0,0.5,-0.06666666666666665,False
